cycle,branch,model,modeldate,candidate_inc,candidate_chal,scenario_id,probability,scenario_description,timestamp,simulations
2020,President,polls-plus,10/01/2020,Trump,Biden,4,0.90145,Biden wins popular vote,1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,3,0.09855,Trump wins popular vote,1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,2,0.04905,Recount (1+ decisive states within 0.5 ppt),1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,1,0.00455,Electoral College deadlock (No candidate gets 270 electoral votes),1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,14,0.924075,Biden wins at least one state Trump won in 2016,1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,13,0.3348,Trump wins at least one state Clinton won in 2016,1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,12,0.001225,Map exactly the same as in 2016,1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,11,0.297025,Biden landslide (double-digit popular vote margin),1/10/2020 21:27,40000
2020,President,polls-plus,10/01/2020,Trump,Biden,10,0.002,Trump landslide (double-digit popular vote margin),1/10/2020 21:27,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,9,0.83925,Biden majority (at least 50 percent of the vote),30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,8,0.07665,Trump majority (at least 50 percent of the vote),30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,6,0.105375,Biden wins popular vote but loses Electoral College,30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,5,0.0014875,Trump wins popular vote but loses Electoral College,30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,4,0.8881,Biden wins popular vote,30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,3,0.1119,Trump wins popular vote,30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,2,0.0528,Recount (1+ decisive states within 0.5 ppt),30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,1,0.004725,Electoral College deadlock (No candidate gets 270 electoral votes),30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,14,0.914275,Biden wins at least one state Trump won in 2016,30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,13,0.349425,Trump wins at least one state Clinton won in 2016,30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,12,0.00115,Map exactly the same as in 2016,30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,11,0.2803,Biden landslide (double-digit popular vote margin),30/09/2020 20:24,40000
2020,President,polls-plus,9/30/2020,Trump,Biden,10,0.002875,Trump landslide (double-digit popular vote margin),30/09/2020 20:24,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,9,0.840675,Biden majority (at least 50 percent of the vote),29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,8,0.07575,Trump majority (at least 50 percent of the vote),29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,6,0.10865,Biden wins popular vote but loses Electoral College,29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,5,0.0011875,Trump wins popular vote but loses Electoral College,29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,4,0.889125,Biden wins popular vote,29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,3,0.110875,Trump wins popular vote,29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,2,0.053025,Recount (1+ decisive states within 0.5 ppt),29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,1,0.004625,Electoral College deadlock (No candidate gets 270 electoral votes),29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,14,0.913325,Biden wins at least one state Trump won in 2016,29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,13,0.3562,Trump wins at least one state Clinton won in 2016,29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,12,0.001375,Map exactly the same as in 2016,29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,11,0.28025,Biden landslide (double-digit popular vote margin),29/09/2020 20:44,40000
2020,President,polls-plus,9/29/2020,Trump,Biden,10,0.00275,Trump landslide (double-digit popular vote margin),29/09/2020 20:44,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,9,0.835525,Biden majority (at least 50 percent of the vote),28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,8,0.078675,Trump majority (at least 50 percent of the vote),28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,6,0.10855,Biden wins popular vote but loses Electoral College,28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,5,0.0011625,Trump wins popular vote but loses Electoral College,28/09/2020 22:13,40000
2020,President,polls-plus,9/28/2020,Trump,Biden,4,0.88545,Biden wins popular vote,28/09/2020 22:13,40000
