Day,Len,State,EV,Dem,GOP,Ind,Date,,,,,,,,Pollster
186.5,12,Florida,29,36,41,07,Jul 11,,,,,,,,Quinnipiac U.-12
177.0,3,Florida,29,46,42,02,Jun 27,,,,,,,,SurveyUSA-3
173.5,4,Florida,29,44,41,,Jun 24,,,,,,,,YouGov-4
164.5,12,Florida,29,42,36,07,Jun 19,,,,,,,,Quinnipiac U.-12
154.5,4,Florida,29,40,41,04,Jun 05,,,,,,,,PPP-4
152.0,3,Florida,29,45,42,,Jun 02,,,,,,,,Mason-Dixon-3
137.5,2,Florida,29,46,42,,May 18,,,,,,,,Gravis-2
137.5,4,Florida,29,43,42,,May 19,,,,,,,,YouGov-4
136.0,31,Florida,29,43,42,,May 31,,,,,,,,Morning Consult-31
122.5,12,Florida,29,43,42,,May 08,,,,,,,,Quinnipiac U.-12
 66.0,7,Florida,29,49,41,,Mar 10,,,,,,,,Marist Coll.-7
 64.0,3,Florida,29,44,45,,Mar 06,,,,,,,,SurveyUSA-3
 63.0,5,Florida,29,50,43,,Mar 06,,,,,,,,Opinion Rsearch.-5
 55.0,1,Florida,29,44,46,,Feb 24,,,,,,,,PPP-1
 46.0,29,Florida,29,43,43,,Feb 29,,,,,,,,Morning Consult-29
 33.5,8,Florida,29,45,38,,Feb 06,,,,,,,,Florida Southern Coll.-8
 16.5,4,Florida,29,44,47,,Jan 18,,,,,,,,Florida Atlantic U.-4
  1.0,1,Florida,29,50,49,,Jan 01,,,,,,,,Election 2012-1
335.0,1,Georgia,16,46,51,03,Dec 01,,,,,,,,2016 Election results-1
308.0,3,Georgia,16,43,49,04,Nov 05,,,,,,,,YouGov-3
307.0,7,Georgia,16,45,45,06,Nov 06,,,,,,,,SurveyMonkey-7
306.5,2,Georgia,16,45,49,06,Nov 03,,,,,,,,Opinion Savvy-2
304.0,3,Georgia,16,44,45,08,Nov 01,,,,,,,,Marist Coll.-3
303.0,3,Georgia,16,42,51,02,Oct 31,,,,,,,,Emerson Coll.-3
300.0,7,Georgia,16,44,46,07,Oct 30,,,,,,,,SurveyMonkey-7
299.0,3,Georgia,16,42,49,03,Oct 27,,,,,,,,SurveyUSA-3
296.0,7,Georgia,16,43,44,08,Oct 26,,,,,,,,Quinnipiac-7
293.0,1,Georgia,16,46,50,03,Oct 20,,,,,,,,Opinion Savvy-1
291.5,4,Georgia,16,42,44,09,Oct 20,,,,,,,,AbtSRBI-4
