state,AVG(less_9_grade_perc),AVG(high_school_perc),AVG(college_no_degree_perc),AVG(associate_degree_perc),AVG(bachelors_degree_perc),AVG(graduate_degree_perc),AVG(high_school_or_more_perc),AVG(bachelors_degree_or_more_perc),registered_per_total
Connecticut,2.5400000333786013,27.25999984741211,20.04000015258789,7.580000019073486,21.34000015258789,15.880000114440918,92.0999984741211,37.220000457763675,0.609
Colorado,1.857142882687705,22.21428530556815,23.35714312962123,8.214285578046526,25.11428533281599,14.128571374075753,93.07142857142857,39.27142824445452,0.608
Arizona,3.2999999788072376,25.322221967909073,27.5222225189209,8.833333386315239,17.744444423251682,9.922222243414986,89.36666700575087,27.677777926127117,0.608
"New Mexico",3.7666667302449546,27.03333282470703,26.5,7.899999936421712,14.933333396911621,10.866666793823242,87.26666514078777,25.866666793823242,0.581
Idaho,1.949999988079071,29,27.600000381469727,9.550000190734863,17.600000381469727,8.049999952316284,91.80000305175781,25.65000057220459,0.572
Florida,3.2629629461853593,28.733333234433776,21.98518505802861,10.029629601372612,18.359259393480087,10.40000006004616,89.49999971742983,28.75925925925926,0.56
Arkansas,3.375,34.72499990463257,24.700000286102295,7.524999976158142,13.825000047683716,7.5249998569488525,88.32499885559082,21.37500023841858,0.558
"New York",4.085185187834281,25.911110983954536,18.659259125038428,8.788888931274414,20.78888878998933,15.074073950449625,89.21111128065321,35.84814820466218,0.553
Texas,4.261111097203361,27.13333347108629,25.433333290947807,7.383333325386047,18.64444438616435,9.33055552509096,87.91111077202692,27.986111005147297,0.552
Nevada,2.7999999821186066,29.675000190734863,28.050000190734863,8.5,15.224999904632568,7.9750001430511475,89.47500038146973,23.22499990463257,0.55
California,4.660377335998247,22.34716980412321,25.66037748444755,8.309433946069682,20.90377357770812,11.507547171610707,88.7245284746278,32.41132072232804,0.519
Hawaii,2.8499999046325684,27.949999809265137,22.949999809265137,11,20.700000762939453,10.75,93.25,31.40000057220459,0.495
"District of Columbia",2.200000047683716,18.899999618530273,15.399999618530273,2.5999999046325684,26,30.200000762939453,93.0999984741211,56.20000076293945,NULL
